省,省确诊,省治愈,省死亡,市,新增确诊,新增治愈,新增死亡,确诊,治愈,死亡,日期
重庆市,547,184,5,万州区,2,0,0,106,34,3,2020-02-16
重庆市,547,184,5,江北区,1,0,0,27,3,0,2020-02-16
重庆市,547,184,5,綦江区,0,0,0,23,5,0,2020-02-16
重庆市,547,184,5,合川区,0,0,0,23,6,0,2020-02-16
重庆市,547,184,5,潼南区,1,0,0,18,2,0,2020-02-16
重庆市,547,184,5,垫江县,0,0,0,20,5,0,2020-02-16
重庆市,547,184,5,奉节县,0,0,0,20,5,0,2020-02-16
重庆市,547,184,5,渝中区,0,0,0,20,7,0,2020-02-16
重庆市,547,184,5,南岸区,0,0,0,15,2,0,2020-02-16
重庆市,547,184,5,九龙坡区,0,0,0,20,7,1,2020-02-16
重庆市,547,184,5,大足区,0,0,0,14,2,0,2020-02-16
重庆市,547,184,5,长寿区,2,0,0,20,9,0,2020-02-16
重庆市,547,184,5,忠县,1,0,0,20,9,0,2020-02-16
重庆市,547,184,5,两江新区,0,0,0,17,7,0,2020-02-16
重庆市,547,184,5,渝北区,0,0,0,15,5,0,2020-02-16
重庆市,547,184,5,石柱县,0,0,0,14,5,0,2020-02-16
重庆市,547,184,5,荣昌区,0,0,0,9,0,0,2020-02-16
重庆市,547,184,5,云阳县,1,0,0,24,16,0,2020-02-16
重庆市,547,184,5,沙坪坝区,0,0,0,8,0,0,2020-02-16
重庆市,547,184,5,开州区,0,0,0,20,12,1,2020-02-16
重庆市,547,184,5,丰都县,0,0,0,10,3,0,2020-02-16
重庆市,547,184,5,铜梁区,0,0,0,9,2,0,2020-02-16
重庆市,547,184,5,巫溪县,0,0,0,13,8,0,2020-02-16
重庆市,547,184,5,巫山县,0,0,0,10,5,0,2020-02-16
重庆市,547,184,5,璧山区,1,0,0,9,4,0,2020-02-16
重庆市,547,184,5,巴南区,0,0,0,6,1,0,2020-02-16
重庆市,547,184,5,大渡口区,0,0,0,7,4,0,2020-02-16
重庆市,547,184,5,永川区,0,0,0,5,2,0,2020-02-16
重庆市,547,184,5,高新区,0,0,0,4,1,0,2020-02-16
重庆市,547,184,5,江津区,0,0,0,4,2,0,2020-02-16
重庆市,547,184,5,涪陵区,0,0,0,3,1,0,2020-02-16
重庆市,547,184,5,彭水县,0,0,0,2,0,0,2020-02-16
重庆市,547,184,5,酉阳县,0,0,0,1,0,0,2020-02-16
重庆市,547,184,5,万盛经开区,0,0,0,1,0,0,2020-02-16
重庆市,547,184,5,梁平区,0,0,0,4,4,0,2020-02-16
重庆市,547,184,5,黔江区,0,0,0,2,2,0,2020-02-16
重庆市,547,184,5,城口县,0,0,0,2,2,0,2020-02-16
重庆市,547,184,5,武隆区,0,0,0,1,1,0,2020-02-16
重庆市,547,184,5,秀山县,0,0,0,1,1,0,2020-02-16
湖南省,1004,452,3,长沙,0,16,1,241,89,1,2020-02-16
湖南省,1004,452,3,岳阳,1,3,0,154,54,1,2020-02-16
湖南省,1004,452,3,株洲,0,0,0,78,29,0,2020-02-16
湖南省,1004,452,3,常德,1,3,0,79,31,0,2020-02-16
湖南省,1004,452,3,邵阳,1,0,0,101,59,1,2020-02-16
湖南省,1004,452,3,娄底,0,5,0,75,34,0,2020-02-16
湖南省,1004,452,3,益阳,0,0,0,59,25,0,2020-02-16
湖南省,1004,452,3,湘潭,0,0,0,35,14,0,2020-02-16
湖南省,1004,452,3,衡阳,0,0,0,47,28,0,2020-02-16
湖南省,1004,452,3,郴州,0,0,0,39,22,0,2020-02-16
湖南省,1004,452,3,永州,0,0,0,43,27,0,2020-02-16
湖南省,1004,452,3,怀化,0,0,0,40,30,0,2020-02-16
湖南省,1004,452,3,湘西自治州,0,0,0,8,6,0,2020-02-16
湖南省,1004,452,3,张家界,0,0,0,5,4,0,2020-02-16
江苏省,617,209,0,南京,1,2,0,92,29,0,2020-02-16
